LABEL,METHODE_TYPE,CONTIENT_OR,CONTIENT_EQUAL,CONTIENT_QUOTE,CONTIENT_COMMENT,CONTIENT_UNION,CONTIENT_SELECT,CONTIENT_FUNCTION,LONGUEUR_NORM,SCORE_INJECTION_NORM,SCORE_COMPLEXITE_NORM,NB_SQL_WORDS_NORM,NB_EQUALS_NORM,RATIO_SCORE_LENGTH_NORM
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.006789037,0,0.033218722,0,0,0
1,0,0,1,0,0,0,0,0,0.05406085,0.333333333,0.034544897,0.0625,0.017699115,0.055555556
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,1,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
0,0,0,0,0,0,0,0,0,0.003520241,0,0.197929607,0.03125,0,0
1,0,0,1,0,0,0,0,0,0.05406085,0.333333333,0.034544897,0.0625,0.017699115,0.055555556
